Model,elpd_diff,se_diff,elpd_loo,se_elpd_loo
MoGmeta,0,0,-201510.90798995434,175.43938187838165
MoG0meta,-9.51894205088026,6.318143869211096,-201520.42693200707,175.3884662191611
LMMmeta,-980.1019308046145,101.22969961464317,-202491.00992075904,213.84441776290623
LMM0meta,-1167.4254223697155,96.36767524344125,-202678.33341232513,211.54405574968848
LMMvarmeta,-3510.854135535185,218.93718527755078,-205021.76212549297,307.2206550776049
