Model,elpd_diff,se_diff,elpd_loo,se_elpd_loo
MoGmodality,0,0,-57630.66541281382,102.90378070196174
MoG0modality,-12.123648328160481,6.175700025985066,-57642.78906114214,103.01768680671616
LMM0modality,-867.8480779181841,96.67546178959759,-58498.513490732315,150.3658990662569
LMMvarmodality,-902.9912760973112,91.67500298688688,-58533.65668891174,147.70922720825325
LMMmodality,-904.9085080432143,97.7099595557724,-58535.57392085722,152.00144754535967
LMM0,-1024.2936842344766,95.43703820069256,-58654.95909704835,151.45932262718998
