Model,elpd_diff,se_diff,elpd_loo,se_elpd_loo
MoG,0,0,-21724.45,65.31
MoG0,-0.86,1.94,-21725.31,65.23
LMM,-400.55,36.22,-22124.99,78.19
LMMvar,-401.99,36.34,-22126.44,78.33
LMM0,-406.07,35.93,-22130.52,77.99
