Model,elpd_diff,se_diff,elpd_loo,se_elpd_loo,Comparison
LMM,0,0,-22124.993721907937,78.18505803203934,LMM vs LMM0
LMM0,-5.525844703017054,3.422407484840246,-22130.519566611038,77.98942289237827,LMM vs LMM0
MoG,0,0,-21724.446773733176,65.30774514993787,MOG vs LMM
LMM,-400.54694817478577,36.21517730984979,-22124.993721907937,78.18505803203934,MOG vs LMM
