Model,elpd_diff,se_diff,elpd_loo,se_elpd_loo
MoGmetadelta,0,0,-201485.6924506503,176.3455073784053
MoG0metadelta,-14.757467377168325,7.951899382259121,-201500.44991802706,175.90744301914003
MoGmeta,-24.896559587216892,10.458795886753471,-201510.58901023527,175.42025575778538
MoG0meta,-34.18980481191193,13.467246115838089,-201519.88225546305,175.38998622071693
LMMmeta,-1006.0117854981545,96.65729677799888,-202491.70423614836,213.8145846760832
MoG0,-1041.849833818666,83.01326613518903,-202527.5422844673,216.18064916477795
LMM0meta,-1192.0573958553446,91.93102858630341,-202677.74984650637,211.5231504779791
LMMvarmeta,-3536.7356531782825,213.65382395071572,-205022.42810382906,307.2214343662553
